timestamp,policy_index,policy,password_length,count_upper,count_lower,count_digit,count_special,time_taken,frustration_rating,perceived_strength,memorability
1743636878,0,Password must be at least 8 characters long.,17,0,17,0,0,3.107,3,3,3
1743636890,1,Password must be a passphrase of three or more words.,36,0,30,0,3,6.011,3,3,3
1743636901,2,"Password must include at least one uppercase letter, one lowercase letter, and one digit.",3,1,1,1,0,6.666,4,4,4
1743636911,3,Password must be at least 12 characters long and contain at least one special character.,13,0,11,0,1,5.648,4,4,4
1743641457,0,Password must be at least 8 characters long.,9,0,9,0,0,6.935,1,1,1,no idea,i justed typed keys
1743641486,1,"Password must include at least one uppercase letter, one lowercase letter, and one digit.",13,1,11,1,0,10.702,1,1,1,perhaps,i pressed some keys
1743641533,2,Password must be at least 12 characters long and contain at least one special character.,13,0,12,0,1,6.803,3,4,1,possibly,i followed directions
1743641592,3,Password must be a passphrase of three or more words.,12,0,10,0,0,6.244,10,4,10,nope,i hate you
1743646678,0,Policy 4,11,3,8,0,0,7.015,1,1,1,,
1743646708,1,Policy 6,13,3,9,0,1,8.354,1,1,1,,
1743646731,2,Policy 5,8,1,3,2,2,5.709,1,1,1,,
1743646740,3,Policy 2,16,9,7,0,0,4.959,1,1,1,,
1743646790,4,Policy 1,23,4,13,2,4,8.179,1,1,1,,
1743646802,5,Policy 3,16,4,6,3,3,6.777,1,1,1,,
1743646893,0,Policy 4,10,1,1,8,0,47.897,2,2,9,no,followed directions
1743646971,1,Policy 3,9,1,1,6,1,51.546,2,3,9,yes,"follow directions
"
1743647000,2,Policy 2,16,1,1,14,0,15.386,3,4,6,,
1743647032,3,Policy 6,16,1,1,14,0,11.852,6,5,6,,
1743647055,4,Policy 5,16,1,1,14,0,12.944,5,5,7,,
1743647077,5,Policy 1,12,1,1,9,1,9.751,3,2,4,,
